00014E71,"麥克邁納斯: 成功了！碉堡淨空！"
4C9569F8,"Parabellum MG-14/17 （壓制）小任務"
4C968675,"在《以沙皇之名》地圖上治療 5 名盟友"
4C9B12D0,"中校II"
4C9FE040,"卡賓步槍專家"
4C9FEA02,"指揮所"
4CA043E7,"青島戰役"
4CA043E8,"福克蘭群島戰役"
4CA043E9,"日德蘭戰役"
4CA043EA,"奧特朗托海峽戰役"
4CA04828,"奧伯恩多夫"
4CA04829,"菲德勒"
4CA04C69,"羅爾"
4CA24383,"威爾森: 很好。又少了一座火砲了！"
4CA417F8,"萬眾矚目"
4CA6EF74,"請等候回合結束。"
4CA74395," CHIEF MARKETING OFFICER"
4CA7D575,"移動間諜飛艇"
4CB0985E," QA TEST LEAD"
4CB3D79A,"電報站防守獎勵"
4CB8AD60,"唐森: 看來我們把他們都幹掉了。進來吧愛德華，在德國佬增援以前快點離開這裡。"
4CB8B8BD,"在「榮耀墮獄」中找到所有野戰手冊"
4CBF6D6D,"什麼事都不會發生的，貝都因軍都逃走了，叛亂結束了。"
4CC13A6A," LAUNCH READINESS MANAGER"
4CC49AFB,"膠捲顆粒效果"
4CD23B80,"無名英雄"
4CD38810,"代表美屬薩摩亞的狗牌"
4CD8F212,"美屬薩摩亞"
4CDC7842,"用羅斯 MKIII（神射手）進行 50 次擊殺"
4CDD4B6E,"勞倫斯: 為了方便寄送，每個指揮所的附近都設有裝著信鴿的鴿籠。"
4CE3BD6B,"唐森: 在這停下，等待行動的信號。"
4CEA40E1,"黃金甲"
4CEE2DC2,"已摧毀目標"
4CEE922F,""
4CF3849E,"近戰"
4CF72C98,"用步槍手榴彈進行 50 次擊殺"
4D034A14,"已拆除電報站炸彈"
4D05AAB9,"恭喜您！您解鎖了 Answer HQ 狗牌。前往「我的戰士」選單，然後在「狗牌」選單內裝備您的新狗牌！"
4D0704A3,"檢舉伺服器錯誤"
4D12D2D9,"近戰武器"
4D149B94,"唐森: 保持速度！"
4D164CB1,"裝備有防彈外殼的後膛砲，用於對付飛機。"
4D1A37DA,"天空中的屠殺"
4D20A85B,"SGT STEVE CAMPO"
4D22E30D,"確定要結束嗎？"
4D23A754,"威爾森: 再打中幾下，那艘飛船就會墜落了！"
4D28A084,"在棒頭加上尖刺以增加殺傷力的鋼製棒槌。"
4D31BAF8,"唐森: 把那些鐵絲壓進泥土中！"
4D333FE3,"跟加里森談話"
4D34BB15,"勞倫斯: 對敵人部署關鍵優劣的了解程度，可能主宰著行動的成功與失敗。"
4D36F345,"寺院廢墟"
4D37DC06,"ID_RSP_KIT_MEDIC_DESC"
4D3D2E90,"瞄準鏡"
4D3D5A9A,"《戰地風雲 5》之路"
4D3E082C,"加速"
4D420BF1,"階級"
4D42BFE5,"1: 在沙漠戰役中與阿拉伯的勞倫斯並肩作戰。"
4D42BFE6,"2: 用盡一切手段引出鄂圖曼的裝甲列車「狼王」。"
4D42BFE7,"3: 孤注一擲對抗鄂圖曼的野獸。"
4D46DF4D,"外觀"
4D4A18D8,"黃金戰鬥包內含 5 個物品，包括： －至少 1 項進階物品和 2 項標準物品 －2 項獎勵物品，有少許機會獲得白銀包中沒有的精英物品"
4D4D7013,"愛德華: 讓我們回到任務上吧。鎖定砲台，麥克邁納斯，我要轉向到集結點那一側了。"
4D4F9676,"布萊克本: 又擊落一架！你有在算嗎，威爾森？！"
4D5E3AE0,"唐森: 就是這樣！"
4D609FE4,"SPAS-12戰鬥包"
4D63401C,"瞬間加速"
4D6469BB,"戰馬搖桿"
4D6772B7,"願你平安"
4D677424,"發生登入變動。你現在將返回主畫面。"
4D67F341,"登入已變更"
4D6FCC1D,"使用M224迫擊砲擊殺100人"
4D70BE35," LEGAL COUNSEL"
4D74B9D3," ANIMATOR"
4D74D2DB,"布萊克本: 就快擊垮了！再攻擊幾次應該就行了！"
4D7D9C79,"代表新喀里多尼亞的狗牌"
4D80C724,"比查特: 大砲出籠。"
4D83067B,"新喀里多尼亞"
4D83E734,"您沒有伺服器現正使用的內容，請查看商店是否有追加內容，或檢查是否已安裝所有內容。"
4D8B3BF5,"Royal Decree placeholder description text.VVVVV"
4D8B3BF6,"Royal Edict placeholder description text.VVVVV"
4D8B3BF7,"Royal Order placeholder description text.VVVVV"
4D8B3BF8,"Royal Statute placeholder description text.VVVVV"
4D8B4036,"Executiuoner placeholder description text.VVVVV"
4D8B4037,"Rival placeholder description text.VVVVV"
4D8B4477,"The Commandant placeholder description text.VVVVV"
4D8BF11E,"佔領皮卡迪利磨坊"
4D8BF11F,"佔領基奇納嶺"
4D8BF120,"佔領貝倫的十字路口"
4D8BF122,"佔領大威利的農場"
4D8E0AAB,"GOS PRODUCTIONS GROUP TECHNICAL DIRECTOR"
4D8E4AB9,"選項"
4D91E4C9,"[{0:s}]{1:s}"
4D921C91,"上 Battlelog 使用這些圖章和士兵肖像！"
4DA45F8C,"視角移動速度"
4DA57074,"使用95式自行高射炮擊殺500人"
4DA63825,"降落傘自動開啟"
4DA64CD9,"麥克邁納斯: 野戰砲！不能浪費時間了！"
4DA64CDA,"麥克邁納斯: 野戰砲！快走！快走！"
4DA64CDB,"麥克邁納斯: 前方有野戰砲！"
4DA9C13F,"部署熱誘彈"
4DA9C91D,"不在小隊中"
4DAADA76,"95式自行高射炮大師狗牌"
4DAC0556,"這不是斯巴達狗牌"
4DB35067,"1918 年春季，德意志帝國吸收了東面潰敗戰線的士兵，期望能一舉打破對峙的僵局。隨著宛若災難般、連倫敦都為之震動的砲擊彈幕響徹雲霄，德軍突擊軍團開始了他們的進攻，並成功深入了自 1914 年初便無法踏入半分的協約國防線。亞眠市區因此受到威脅，協約國退無可退。戰爭的盡頭就在眼前。"
4DB3B551,"狼牙棒是國際關係的終極體現。近距離使用它來進行近戰秒殺。"
4DB42224,"槍火小巷"
4DB43875," THE IMAGINARIUM STUDIOS"
4DB8B1AE,"威爾森: 把飛機修好！"
4DBF4D43,"PRODUCT LAUNCH TEAM PRODUCT LAUNCH PROJECT MANAGER"
4DBF5152,"唐森: 睜大眼睛留意那些混帳東西！"
4DC6DB1F,"在索姆河進行 10 次擊殺"
4DC8FAEA,"你可以在即時視角中透過小隊長的視野查看行動。"
4DD09041,"在舊帝國掙扎著站穩腳跟時，全世界都被捲入了這場無可避免的災難中。"
4DD09042,"戰爭很快便籠罩全球。舊帝國與新世界之間的摩擦，老方法與新思維之間的碰撞。"
4DD370B6,"唐森: 快帶我們到掩蔽處啊，駕駛！"
4DE23F84,"用鄂圖曼彎刀進行 10 次擊殺"
4DE9EC7D,"在《力挽狂瀾》地圖上得到 500 分"
4DEA78DE,"在《力挽狂瀾》地圖上得到 1000 分"
4DEB053F,"在《力挽狂瀾》地圖上得到 2000 分"
4DEB3809,"升到階級 110 時的獎勵。"
4DF0A20B,"准將正面"
4DF11421,"威爾森: 試著用火箭對付它們，感受一下攻擊地面目標的感覺。"
4DF21245,"切肉刀"
4DF2F27E,"我們要被擊潰了！"
4DF51FA5,"鎖定"
4DF8FED2,"調整步行縮放範圍。"
4DFFF3A3,"進行 2 小隊復仇擊殺"
4E03F790,"鋼矛鏢彈"
4E064C21,"在《以沙皇之名》地圖上重新補給 15 名盟友"
4E0B7A05,"用馬提尼·亨利步槍擊殺 100 人的獎勵。"
4E0C3763,"ID_RSP_WEAPONS_MELEE"
4E0C5994,"摧毀巨型裝甲列車「狼王」。"
4E0E7C2E,"跟著我"
4E10E407,"馬提尼·亨利步槍背面"
4E1B4CBF,"GOS PRODUCTIONS TECHNICAL DIRECTOR"
4E247B5F,"龜甲可能都還比這個黃金甲冑有用。"
4E2669D5,"代表千里達的狗牌"
4E29D07A,"部署"
4E2A8D9B,"GOS QA SOFTWARE ENGINEERS"
4E2BD3D7,"千里達"
4E2D280C,"SINGLEPLAYER CAMPAIGN TEAM"
4E2ED2BF,"還有 3 道防線"
4E306CFA,"在有砲塔的載具啟用相對瞄準控制（只適用於相對瞄準按鍵設定）。"
4E3A9215,"遊戲內每個月都有不同高級活動供會員參加！"
4E3B13F3,"AUDIO ARTISTS"
4E3B82D4,"建議"
4E402035,"麥克邁納斯: 真不敢相信。"
4E42F29E,"唐森: 德國佬別想奪回這個調度場。我們會在這裡堅守陣地！"
4E52C6E7," VICE PRESIDENT CONTENT AND DIGITAL STRATEGY"
4E588AFB,"裝備萬眾矚目痛苦折磨並進行 50 次近戰擊殺"
4E5D600D,"俯仰"
4E5DF020," SENIOR DIGITAL ANALYST"
4E639213,"你可以切換放大鏡。"
4E66825B,"顯示更多資訊"
4E67EA07,"顯示武器包"
4E68DF3D,"完成協助擊殺"
4E6A9FFA,"比查特: 德軍飛起來囉！"
4E6B758C,"唐森: 愛德華。別鬧了。快走吧。我們就跟在後面。"
4E6BF6B8,"啊！"
4E6EA4EF,"勞倫斯: 好運與子彈用盡，在我的經驗中，只要避免後者通常就能協助前者。"
4E6FA058,"肯定"
4E783D2C," ONLINE OPERATIONS AND CONTENT"
4E7B6DC7,"倫貝格"
4E82D423,"無法新增玩家"
4E83207D,"ACE 21 CQB戰鬥包"
4E8C7E84,"試用已到期"
4E8F8055,"小隊突襲"
4E8FD8EE,"布萊克本: 而且德國佬也不喜歡做事做一半，所以他們派出了防空砲。"
4E942E69,"這款衝鋒槍以 RSC M1917 為基礎，並且專為坦克乘員進行近距離戰鬥而設計。"
4E972373,"使用F35擊殺500人"
4E98BAB2,"在《戰地風雲 5》之路的俄軍關卡獎勵"
4E9C4331,"需要武器小任務"
4E9C8D75,"F35大師狗牌"
4E9CC6D4,"ENGINEERING PROGRAM MANAGER"
4E9E24B4,"土匪"
4E9F95B7,"Howell 自動步槍（狙擊手）小任務"
4EA048F1,"唐森: 碉堡就代表著麻煩。我看到有好幾個野戰砲砲位。在我們把貝絲開上去之前你必須進入清除那些野戰砲。只要你完成任務後我們就會馬上跟進。"
4EA713B0,"否"
4EA7717D,"威爾森: 別往下看。別往下看。"
4EAB1B49,"白銀戰鬥包"
4EACECC0,"需要修理"
4EAD4132,"允許玩家能選擇醫護兵種。"
4EAF06D8,"布萊克本: 我似乎感覺到你有點不喜歡這傢伙？你們是不是有什麼舊怨啊？"
4EB403D2,"刺刀"
4EB648D0,"在時任第一海軍大臣溫斯頓邱吉爾的命令下，協約國在加里波利半島的多處海灘進行了登陸。英軍和法軍在V海灘發起突擊，然而卻被一支土耳其連隊以簡易的武器所抵擋。這次突擊是現代歷史上的第一次兩棲突擊。然而，協約國軍不知道的是，鄂圖曼防禦者裝備了德軍武器，並且全都部署在佔據制高點的戰壕和堡壘之中。"
4EB748B8,"SMLE MKIII（狙擊手）"
4EBC203F,"唐森: 幹得好，兄弟們。現在我們要拿下下一條戰壕。"
4EBC685F,"威爾森: 空中只剩下幾架戰機了！"
4EBD704C,"已啟用傾身窺視"
4EBD8E4F,"滾開"
4EC1125C,"唐森: 瞄得好！再給他們一發！"
4EC277CF,"SOFTWARE ENGINEER"
4ECD8314,"小任務獎勵"
4ECDBD8B,"DICE FROSTBITE2 ENGINE TEAM"
4ED4C78A,"PERINO MODEL 1908（防禦）"
4ED87BC0,"大量法國步兵憑著作為法國精神的戰地英勇理念「生命的力量」於 1914 年 8 月迎戰德國的進攻，但正是馬恩的堅固防禦挽救了巴黎。對於許多人而言，那場「奇蹟」體現了法國堅決抵抗最強大敵方的決心，那怕是敵方已大幅踐踏法國領土。它成為了一場事關防衛者存活的戰鬥，因為德軍威脅到了象徵著法國的凡爾登市。英國始終可撤回到自己的島嶼上，但對於法國戰士和市民而言，這是一場為了奪回和保護被強敵佔領和摧毀的家園和土地的戰爭。因此法國比其盟軍投入了更多士兵，他們遭受了最慘重的傷亡，他們率先採用了徐進彈幕射擊戰術，他們投入了強大的坦克及首支真正的空軍，到戰爭結束時，指揮盟軍的是一位法國人。"
4EDA9B4C,"法國"
4EDAA2B7,"喂！菜鳥！找掩蔽啊媽的！"
4EDE59C2,"格里戈里·葉菲莫維奇·拉斯普丁在俄羅斯中部的鄉間小鎮中長大，之後成了四處游方的神祕主義宗教人物，以他的教誨來交換旅途當中的款待，並前往各個宗教聖地朝聖。1903 年，他引起了聖彼得堡亞歷山德拉皇后的注意。皇后一直想為患有血友病的亞歷克賽皇太子尋找解方，因此她轉為尋求拉斯普丁看似神奇的力量，而拉斯普丁也成功在某次皇太子流血時止住了血流。在這之後，拉斯普丁不但成為了亞歷克賽的御用醫師，其社會地位和在俄國朝廷的地位也在快速攀升。他建立起了自己的政治圈子，在朝廷任命自己所喜愛的人，並且曾警告沙皇，若俄國參與一次大戰，將無可避免地導致其王朝的崩解。許多貴族和政治人物都不齒於拉斯普丁對沙皇夫婦的影響力以及他荒淫無度的生活，這最終導致了拉斯普丁餘 1916 年 12 月 30 日遭到暗殺。"
4EE0794E,"妖僧"
4EE846FB,"CLOUD ENGINEER"
4EEA69AC,"愛德華: 糟糕。我沒看到。"
4EEB9ABA,"炸藥現在會依序引爆"
4EF03B71,"中校III"
4EF40B24,"EA CERTIFICATION AGE RATINGS"
4EFFB2C9,"法國的佛日山脈。1917 年春季。"
4EFFB2CA,"協約國在空中兵敗如山倒。"
4EFFB2CB,"德意志空軍利用他們一系列的精良飛機，以及 一群大名鼎鼎且殺敵無數的「王牌」飛行員， 主宰了整個西線戰場。英國皇家飛行隊則是努力試著抗衡。"
4EFFB2CC,"多數替補飛行員僅有不到 10 小時的飛行經驗。"
4EFFB2CD,"皇家飛行隊戰鬥機飛行員的平均壽命是 17 天。"
4EFFD545,"查看更多"
4F003F2A,"一系列嶄新的飛行設計投入了被戰火摧殘的法國空域。 在飛行器上改革就像是場賭博。有些效果不錯，有些卻一點用都沒有。"
4F003F2B,"飛行員時常用生命來驗證未經驗證的技術。 那些能存活下來的不是有著非常好的適應能力，就是非常幸運。"
4F028DD1," INTERNATIONAL PRODUCT MARKETING"
4F038175,"預計完成時間：計算中……"
4F0EF2F5,"你已擁有戰壕奇兵裝備"
4F148B85,"乘客清單可見度"
4F14960E,"什麼事都不會發生的，貝都因軍都逃走了，叛亂結束了。"
4F16DDD6,"愛德華: 這就對了，麥克邁納斯！幹掉他們！"
4F1C9F88,"唐森: 沒時間慶祝了！"
4F1CA9F4,"PKP佩切涅格勤務之星"
4F1EC5AB,"至上權威"
4F226054,"麥克邁納斯: 燒死你們這些德國王八蛋！"
4F24A853,"他們來了！"
4F250E1D,"普盧瓦西教堂廢墟"
4F25D1FE,"摩天大廈"
4F28B0B1,"代表安道爾的狗牌"
4F2AA969,"VIP 名單"
4F2B76DB,"愛德華: 瞄得好！命中了！"
4F2C1AA8,""
4F2D6134,"唐森: 目標已摧毀！"
4F2E1AB3,"安道爾"
4F2EAAB9,"布萊克本: 來吧德國佬，快來受死！"
4F31A0E3,"用手動槍機步槍累積 2,500 公尺遠的爆頭距離"
4F334CBA,"1-5"
4F34E660,"餐廳"
4F43C9D6,"海軍的凝視"
4F444ACB,"自由視角特快速"
4F472C12,"布萊克本: 有一兩次慘烈到必須要肉搏戰。噁心的細節我就不說了，但當時十分慘烈血腥。"
4F490E00,"馬提尼·亨利步槍（卡賓槍）"
4F4AB08F,"1916 年勃魯西洛夫關口"
4F4B6AB0,"唐森: 手榴彈擲出！快閃！"
4F4C5539,"取得總計 100000 點得分"
4F5255EC,"全收束器"
4F5EF6B0,"身為小隊成員，你可以使用其他小隊員做為機動部署點。若要加入小隊，請從小隊清單中選取小隊並按下："
4F61BD22,"麥克邁納斯: 好了，那總算給了他們一點教訓！"
4F63AC84,"每擊殺一名敵人都可取得擊殺數"
4F66F3F8,"唐森: 好耶！"
4F67163E,"麥克邁納斯: 我們正遭受猛烈攻擊！"
4F674DC0,"一次大戰產生了許多傷患，而當時沒有任何醫生有處理過被彈片、子彈、毒氣、火焰噴射器以及高爆炸藥所傷的傷患。在無人區中，腿部骨折往往等於被宣判了死刑，而開放式傷口最後通常都會導致感染，讓截肢變成唯一的選項。  然而，隨著戰事的進行，許多能拯救無數性命的發明與技術也被研發出來；行動式 X 光機以及實驗室能更快偵測到傷口的範圍，而新型的消毒劑以及用纖維棉這款新發明製作的繃帶，讓衛生環境也得以提升。1917 年，血庫被發明出來，搭配可抗凝血的檸檬酸鈉，讓輸血變得可能，也改善了休克的療程。"
4F696D4C,"醫藥的演變"
4F69C3D0,"費德洛夫 Degtyarev"
4F6BFCE2,"取得亞歷山大之星時的獎勵。"
4F6D2BC2,"德軍在戰爭開始時見證了比利時裝甲車的極高效率後，便決定開始自行生產。德軍的首批設計先是派駐至波羅的海的戰線，之後則被派到西線戰場。到了西線戰場後，這些裝甲車的行動力受地形限制，於是最後便被派至到比較適合裝甲車發揮行動力的俄羅斯東線戰場。   這款裝甲車最高時速為每小時 60 公里，並且多數配有 3 挺機槍。"
4F6F4B4E,"EV4 裝甲車"
4F70AA43,"VO RECORDING STUDIOS"
4F7166E4,"亞歷山大之星正面"
4F79511F,"在這個充滿一戰城鎮的地圖循環中，靠著在建築中閃躲挪移來擊敗敵人。"
4F7A894E,"愛德華: 為了國王與國家，長官，就跟海報上說的一樣。"
4F7BC622," DIRECTOR OF NORTH AMERICA MEDIA"
4F7EBB21,"都市戰術"
4F7F32F4,"完成 6 個條件中的 5 個以獲得獎勵，並開始老鳥小任務"
4F81183C,"Russian 1895（神射手）"
4F849CF6,"治癒之手（基本）"
4F8560AF,"My preset"
4F89A993,"指揮官選單"
4F8ECF4C,"控制當使用配備瞄具的手動槍機步槍瞄準時是否套用景深效果。這個效果會輕微模糊超出步槍一擊必殺射程的物體，而在該射程內的物體則會清晰顯示。這樣可以輕鬆辨別步槍最適合的射程。如果停用這項設定，瞄具就會清晰顯示所有射程上的物體。"
4F93C6A2,"突擊"
4F94C8D9,"唐森: 在民房裡！"
4F99E48C,"用來對倒下的隊友急救。按住後放開可使士兵完全恢復生命值。"
4FA34A5E,"近景結束"
4FA75234,"唐森: 快點！回到裡面來，愛德華！"
4FAF6E24,"你未達所需的兵種階級。"
4FB43B66,"坎塔拉北部外圍"
4FB4FCD6,"MOTION CAPTURE LEAD"
4FB68101,"歡呼"
4FBDE829,"美利堅合眾國"
4FC8ACBC,"穆斯林彎刀"
4FCDAEFE,"無刺刀"
4FCEEF24,"勞倫斯: 他們在幹嘛？他們看得到什麼、看不到什麼？知道這些答案能夠在關鍵時刻保住你的命。"
4FD2C51A,"代表紐西蘭的狗牌"
4FD32894,"愛德華: 逼他們待在空曠處！從掩護中攻擊！聽到沒有，麥克邁納斯？"
4FD6008B,"反擊"
4FD82F1C,"紐西蘭"
4FDCE5C6,"威爾森: 我們中彈了！"
4FE5D868,"載具火力命中"
4FE7DD5C,"在一回合內取得最高輕機槍擊殺數"
4FEB1E63,"唐森: 敵軍還有更多增援正在趕過來，四處看看有沒有有用的資源！"
4FF9DA31,"麥克邁納斯: 坐下並慶幸你被11 毫米的裝甲保護著！"
4FFBF8E1,"EA QA OTG TESTERS"
50012DF7,"這下玩完狗牌"
5003D778,"勞倫斯: 記住，我們需要共三份命令，否則列車不會停下待命。"
500546F9,"威爾森: 他媽的！"
5013DA0D,"麥克邁納斯: 抓到你了！"
5014A8DF,"IN LOVING MEMORY OF"
501A017C,"勞倫斯: 這無關個人，只是血腥的客觀需求，而這正是驅動戰爭引擎的燃料。"
501C03C0,"在卡波雷托進行 10 次擊殺"
501C2968,"達到醫護兵兵種階級 50 級時獎勵。"
5021936A,"醫護兵專家正面"
5022FACC,"您已達到使用者自定組態數量的上限。請編輯您現有的組態。"
50256B21,"用 M1918 白朗寧自動步槍（衝鋒）進行 50 次擊殺"
50294CB4,"音效"
502B5C13,"此數值控制遊戲中每顆子彈的殺傷力。"
502C6327,"在一回合內取得最高地面載具擊殺數"
502FD473,"擊殺紀錄"
5030AD64,"基本設定"
5034CAB8,"高級內容好友已離開"
5037DCE9,"SENIOR ANALYTICS MANAGER"
504060AA,"在前線模式贏得 100 場對戰的獎勵。"
5042370F,"MODEL 10-A（霰彈塊）"
50434BE2,"呼叫砲擊"
5045CAAC,"前線模式正面"
50461CEB,"勞倫斯: 已送出兩份命令。只要再寄出一份，列車就會停下待命。"
50471432,"可多容納 1 名乘客空間的輕型快速運輸載具。乘客可使用套件武器和配備。"
5048A2C8,"按一下"
504BCC6A,"唐森: 如果我們成功活下來，我可能得為你申請個榮譽勳章。"
504C9656,"GENERAL MANAGER AND EXECUTIVE PRODUCER"
50534F85,"麥克邁納斯: 野戰砲，快走、快走！"
50534F86,"麥克邁納斯: 野戰砲！當心！"
50534F87,"麥克邁納斯: 野戰砲！小心！"
50534F88,"麥克邁納斯: 那裡有座野戰砲！"
50534F89,"麥克邁納斯: 野戰砲！"
50534F8A,"麥克邁納斯: 德軍砲彈！"
5053AB25,"剎車/倒退"
5060A2A6,"用 M1903 擊殺 100 人的獎勵。"
50626668,"切換瞄準鏡/斜視瞄準器"
50660CA8,"M1903 背面"
5066547A,"用 M1911A1 取得 100 個擊殺數"
50750FDB,"品質設定"
50760AD3,"唐森: 別只顧著幹掉那些步兵！"
5076AD1E,"唐森: 怎麼了，愛德華？繼續移動啊……我們得去集結點。"
507B9276,"代表突尼西亞的狗牌"
507E7B39,"唐森: 帶我們離開這片泥濘！"
5080FC78,"突尼西亞"
508328E9,"LAUNCH SUPPORT MANAGER"
50874571,"懷特霍爾: 繼續保持！我們要擊退他們了！"
50874572,"懷特霍爾: 繼續保持！我們要擊退他們了！"
50874573,"懷特霍爾: 繼續保持！我們要擊退他們了！"
50874574,"懷特霍爾: 撐住！"
50874575,"懷特霍爾: 撐住！"
50874576,"懷特霍爾: 撐住！"
508A76A9,"WORLD ARTISTS"
508BE793,"唐森: 那樣就行了。"
509143ED,"盧卡: 無論我怎麼找，都太遲了。我覺得這裡似乎只剩下我一個活人。"
50917E9D,"在索姆河上修復 1 輛載具"
50922D4F,"輕機槍 08/18（輕量化）勤務之星"
5092AC47,"調整遊戲模式資訊面板的可見度。"
509855C6,"炸藥能用來摧毀敵方載具或設下埋伏。部署多個炸藥包來製造更為強大的爆炸。"
509C36B5,"M1918 白朗寧自動步槍（望遠瞄具）勤務之星"
509C36C6,"M1918 白朗寧自動步槍（衝鋒）勤務之星"
509C36C7,"M1918 白朗寧自動步槍（壕溝戰）勤務之星"
509C47CA,"MG 15 N.A（衝鋒）勤務之星"
509C47CC,"MG 15 N.A（壓制）勤務之星"
509C7EB4,"M1917 機槍（望遠瞄具）勤務之星"
509CE02C,"紹沙輕機槍（輕量化）勤務之星"
509ED22D,"射程"
509EDE21,"HDR10"
509F271F,"重型"
509F7E1E,"摧毀敵軍轟炸機"
509FBCCB,"M1909 貝內特·梅西耶機槍（望遠瞄具）勤務之星"
509FBCDB,"M1909 貝內特·梅西耶機槍（瞄準鏡）勤務之星"
509FBCDC,"M1909 貝內特·梅西耶機槍（衝鋒）勤務之星"
509FD5BE,"HUOT 自動步槍（輕量化） 勤務之星"
50A1C438,"路易士機槍（瞄準鏡）勤務之星"
50A1C439,"路易士機槍（壓制）勤務之星"
50A23D23,"麥德森機槍（衝鋒）勤務之星"
50A23D24,"麥德森機槍（壕溝戰）勤務之星"
50A3E414,"PARABELLUM MG14/17（壓制）勤務之星"
50A3F509,"PERINO MODEL 1908（防禦）勤務之星"
50A9D3B4,"C4炸藥"
50ADB39C,"在同一條生命中，用啞彈棒進行 25 次擊殺"
50B339D3,"GOS DEVELOPMENT RELATIONS"
50B3A65C,"勞倫斯: 貝都因人珍視他們的馬匹，而作為回報，這些馬匹也能給予騎士無與倫比的速度與靈活性。"
50B4EEA1,"歐洲"
50B4FA81,"美南"
50B4FDB2,"唐森: 第二座了！繼續保持啊，小子們。還有一座！"
50B4FDB3,"唐森: 第二座了！繼續保持啊，小子們！"
50B4FDB4,"唐森: 做得好，各位。剩下一座了。"
50B5093E,"歐洲"
50B50F0E,"美東"
50B51BE5,"美西"
50B51CC6,"英國"
50B52694,"亞洲"
50B53AC0,"美西"
50B53CB0,"澳洲"
50B78650,"雷達掃描"
50BBF174,"威爾森: "
50BECF50,"縮放武器視角"
50C349DE,"在「力量與忠誠」中找到野戰手冊"
50C501F7,"切換瞄準距離"
50C7378E,""
50C7C315,"在窩瓦河上修復 1 輛載具"
50CE8995,"A-91戰鬥包"
50D04FA5,"勝/敗"
50D0983C,"武器戰鬥包內容"
50D1D35D,"FN57戰鬥包"
50D1ED10,"G36C戰鬥包"
50D532C9,"M249戰鬥包"
50D53491,"LSAT戰鬥包"
50D536BF,"M320戰鬥包"
50D53AE5,"M416戰鬥包"
50D53CF0,"M4A戰鬥包"
50D5511D,"M98B戰鬥包"
50D6D7A7,"P226戰鬥包"
50DC85A4,"SCAR-H SV勤務之星"
50DE403D,"友軍裝甲列車正在路上"
50DF6E3B,"過於接近這個回合的結束。"
50E02032,"投擲誘餌"
50E4CF03,"比查特: 注意那個野戰砲！"
50E4CF04,"比查特: 該死！"
50E4CF05,"比查特: 野戰砲完了！"
50E79E26,"左撇子"
50EA6DCA,"前進！繼續向前推進！"
50EC4C14,"使用蘇愷-50擊殺500人"
50EDD26A,"麥克邁納斯: 算上這一個，芬奇！"
50EDE353,"在《戰地風雲 5》之路的海軍陸戰隊關卡獎勵"
50F14EAE,"愛德華: 另一個。"
50F14EAF,"愛德華: 和另一個。"
50F14EB0,"愛德華: 這就對了。也許可以成功。"
50F14EB1,"愛德華: 漂亮。"
50F14EB2,"愛德華: 看起來是我一展身手的時候了。"
50F1B616,"蘇愷-50大師狗牌"
50F33F2D,"蒐集《戰地風雲4》所有獎盃"
50F34D55,"扭曲"
50F58D72,"貝都因匕首"
50F5DB6C,"DICE AI SOFTWARE ENGINEER"
50F8D701,"覘孔式瞄具比一般機械式瞄具提供更好的視野"
50FCAB0A,"在《戰地風雲》的戰役中探索世界大戰。"
51011DB8,"桑奧蓋於小鎮"
5103B0FB,"用戰壕奇兵精英兵種進行 10 次擊殺"
510919F3,"麥克邁納斯: 往上！"
510919F4,"麥克邁納斯: 往上！"
510919F5,"麥克邁納斯: 往上！"
510919F6,"麥克邁納斯: 往上！"
510919F7,"麥克邁納斯: 往上！"
510919F8,"麥克邁納斯: 往上！"
510919F9,"麥克邁納斯: 往上！"
510919FA,"麥克邁納斯: 往上！"
510919FB,"麥克邁納斯: 我準備好了！"
51091A13,"麥克邁納斯: 準備好了！"
51091A14,"麥克邁納斯: 往上！"
51091A15,"麥克邁納斯: 準備好了！"
51091A16,"麥克邁納斯: 我準備好了！"
51091A17,"麥克邁納斯: 往上！"
51091A18,"麥克邁納斯: 我正在往上！"
51091A19,"麥克邁納斯: 往上！"
5109AB93,"布萊克本: 閉上你的烏鴉嘴乖乖受死吧，你這混帳東西！"
5113ACBF,"設為「是」，則僅高級玩家能加入此伺服器。"
5113C2B2,"鹿彈套件"
5113D36E,"找出離開學校的路。"
5114A627,"清除地圖循環"
5115FB15,"麥克邁納斯: 太近了！"
5117D2A5,"啟動升降梯"
511C5CD0,"成為義大利敢死隊的志願軍，成為義大利阿爾卑斯山戰役的突擊先鋒。"
511F2CB5,"唐森: 加油貝絲！你一定行的！"
5123E0E1,"達到分數"
5124F621,"動態感測"
5126D16A,"扎拉: 當你的敵人有更加精良的武器與裝備時……只好用偷的了。"
5130AC95,"接受急救"
51358344,"AIRCO DH.10 轟炸機"
5136DFEA,"黑鐵"
51371CAF,"按下"
5137E3D4,"地獄火交界之橋"
513A8734,"芬奇: 野戰砲！"
513C7B02,"選擇是否要在使用步兵武器瞄準時立即對準最近的敵方目標。"
513DC1AA,"愛德華: 我已經盡快了！"
513E0268,"奪取一輛撤離載具，並帶航程紀錄器返回美國瓦爾基麗號。"
513F7F19," DATABASE SERVICES SENIOR MANAGER"
51456412,"中校IV"
51461C47," SENIOR FINANCIAL ANALYST"
514A4BFF,"麥克邁納斯: 哈哈！"
51546685,"重新設定"
51551BAA,"AUDIO"
