00044741,"無法連上《戰地風雲》的伺服器，無法取得伺服器資訊。請稍後再試。"
42DA6F46,"干擾"
42DA6F47,"閃電"
42DA6F48,"獅子2"
42DA6F49,"遠距"
42DA6F4A,"彈匣"
42DA6F4B,"勳章框"
42DA6F4C,"勳戒"
42DA6F4D,"勳戒2"
42DA6F65,"勳戒3"
42DA6F66,"勳章形狀3"
42DA6F67,"飛彈"
42DA6F68,"降低墜落傷害"
42DA6F69,"盾牌9"
42DA6F6A,"盾牌5"
42DA6F6B,"盾牌8"
42DA6F6C,"榮耀之蛇"
42DA6F6D,"專家"
42DA6F6E,"固定防空武器2"
42DA6F86,"固定機槍2"
42DA6F87,"固定拖式飛彈2"
42DA6F88,"壓制火力"
42DA6F89,"寶劍"
42DA6F8A,"團隊合作"
42DA6F8B,"倒數計時"
42DA6F8C,"AAV"
42DA6F8D,"硬式充氣艇"
42DA6F8E,"精確射手步槍"
42DA6F8F,"輪3"
42DA6FA7,"花圈3"
42DA6FA8,"戰鬥機"
42DA6FA9,"爆炸"
42DA6FAA,"鳶尾花"
42DA6FAB,"主抵抗線"
42DA6FAC,"坦克"
42DA6FAD,"握手"
42DA6FAE,"攻擊直升機"
42DA6FAF,"讃"
42DA6FB0,"獅子"
42DA6FC8,"地雷"
42DA6FC9,"方角"
42DA6FCA,"半圓"
42DA6FCB,"線"
42DA6FCC,"新月"
42DA6FCD,"空投"
42DA6FCE,"曲線"
42DA6FCF,"正三角形"
42DA6FD0,"特價中！"
42DA6FD1,"怒拳"
42DA6FE9,"酷山羊"
42DA6FEA,"藥丸"
42DA6FEB,"驚嘆號"
42DA6FEC,"電郵符號"
42DA6FED,"金錢符號"
42DA6FEE,"日圓符號"
42DA6FEF,"音調符號"
42DA6FF0,"冒號"
42DA6FF1,"分號"
42DA6FF2,"斜線"
42DA700A,"平假名No"
42DA700B,"波浪符號"
42DA700C,"問號"
42DA700D,"Omega"
42DA700E,"小Omega"
42DA700F,"Sigma"
42DA7010,"Delta"
42DA7011,"Pi"
42DA7012,"平假名He"
42DA7013,"平假名Mo"
42DA702B,"韓圓符號"
42DA702C,"歐元符號"
42DA702D,"開封箱子"
42DA702E,"破開藥丸"
42DA702F,"開口圓圈"
42DA7030,"機上有蛇"
42DA7031,"大腦"
42DA7032,"蠍子"
42DA7033,"蜘蛛"
42DA7034,"巨龍"
42DB7E51,"TECHNICAL DIRECTORS"
42F26491,"TECH AND STANDARDS"
42FC50DA,"MP US SELF VOICE"
4301D807,"LOCALIZATION TEAM"
4305DF00,"[BF1]戰鬥包內含武器配件和經驗值加乘等物品。戰鬥包透過晉級頒發，也可透過使用武器升級頒發。若要打開戰鬥包，請進入： | [BF4]戰鬥包內含武器配件和經驗值加乘等項目。戰鬥包透過晉級頒發，也可透過使用武器升級頒發。若要打開戰鬥包，請進入："
431046A5,"顯示選取狀態列"
431098FD,"MONITORING ENGINEERS"
43271A8A,"被動式雷達導彈"
433AEE4E,"飛行Y軸視點"
434FDE0C,"[BF1]以優惠的價格提前取得使用五個資料片的權限 | [BF4]以優惠價率先取得使用五張資料片的權限"
43662854,"透過戰鬥包取得"
43673A02,"加乘"
436B9256,"戰鬥包18狗牌"
437CBBB6,"電子郵件欄空白"
4389B0B8,"AUTOMATION TEST"
438E1568,"代表加拿大的狗牌"
438FA007,"上/下 俯仰"
43937F6A,"加拿大"
43B28353,"移近來啟用下個目標。"
43B3FC25,"MK11 MOD 0戰鬥包"
43BF0BBC,"放大"
43C8C8DC,"快速巡邏載具"
43CBEDB7,"MP RUSSIAN SELF VOICE"
43D0399F,"[BF1]傷害 | [BF4]火力"
43D102F9,"BUILD IT TECHNICIAN"
43D2AC7D,"向後走"
43D95251,"設定地形品質。提高設定值可能會降低效能。"
43EE583D,"顯示小隊清單"
43EF501A,"獲得索敵勳帶50次"
43F4BA1C,"索敵勳章"
43F68ED7,"前三項進度"
4428F9F5,"代表納米比亞的狗牌"
442E63F7,"納米比亞"
442E758D,"CUTSCENE DIRECTOR"
44378BE3,"DICE FACILITIES MANAGER"
4437B6DD,"宿舍"
4444FD97,"DICE LEAD TECHNICAL SCRIPTER"
444AEF97,"按下 蹲下/臥倒"
444BE2E4,"存檔並退出至選單"
445CE8EE,"在一回合內取得最高支援分數"
4464AF66,"極難模式中某些抬頭顯示的功能將不會顯示，難度更高。"
446B84D5,"[BF1]蘋果 | [BF4]Alpha"
446CAE91,"[BF1]中士X | [BF4]槍砲士官長IV"
446E13EB,"這種地圖循環可以在「排名」、「無排名」、「私人」伺服器上使用。"
44741B15,"[BF1]以這高級狗牌炫耀您的地位！ | [BF4]以這高級狗牌炫耀你的地位！"
44798517,"高級Frostbite狗牌"
4480A9A9,"[BF1]奶油 | [BF4]Bravo"
4483558A,"搶攻與團隊死鬥混搭的《正面交鋒》地圖。"
449899F6,"一小時後"
4498C8F1,"VISCERAL"
449AFE7E,"買數位板的玩家就可以得到這個黃金戰鬥包！"
449DE839,"[BF1]達夫 | [BF4]Delta"
44A4C42F,"檢視所有語音辨識和骨架追蹤所使用的指令。"
44A839DA,"EA GLOBAL IT SENIOR DIRECTOR ONLINE ARCHITECTURE"
44B82B1D,"SUBMISSIONS TEAM"
44BE392E,"取消"
44BFDAFB,"[BF1]信仰 | [BF4]Faith"
44C486E5,"[BF1]選擇以按住或按一下按鍵的方式讓士兵衝刺。 | [BF4]選擇以按住或按下按鈕的方式讓士兵衝刺。"
44D1C751,"代表東帝汶的狗牌"
44D519B6,"抵達纜車並守護週遭"
44D551FE,"比賽"
44D73153,"東帝汶"
44EBE62B,"[BF1]哈利 | [BF4]Hotel"
44ED4803,"[BF1]醫護箱 | [BF4]醫護包"
44FD2EB4,"[BF1]墨水 | [BF4]India"
4525079D,"[BF1]恭喜您已解鎖「Slim Jim 白銀戰鬥包」！快進入戰鬥包選單領取物品！ | [BF4]恭喜你已解鎖「Slim Jim白銀戰鬥包」！快進入戰鬥包選單領取項目！"
452A0115,"持有炸彈"
45352588,"EA CAPTURE STUDIO"
4563AD70,"運輸"
456C2B18,"儲存中"
456C7A67,"[BF1]橘子 | [BF4]Oscar"
456E7093,"最終反擊"
456FD2FC,"[BF1]五星上將 | [BF4]最高指揮官"
45755A7E,"[BF1]選擇武器 4 | [BF4]選擇武器4"
45798A41,"此為測試"
458A9415,"自由視角左/右轉"
458A9416,"自由視角上/下轉"
45956DEB,"[BF1]20MM 機砲 | [BF4]20MM機炮"
45958330,"[BF1]25MM 機砲 | [BF4]25MM機炮"
4595FA4C,"[BF1]30MM 機砲 | [BF4]30MM機炮"
45A0BD71,"[BF1]羅伯特 | [BF4]Romeo"
45A1D611,"熱導追蹤"
45A1D774,"地獄火"
45A6DFB3,"QA TESTERS"
45B747A6,"大耳朵"
45B83E44,"[BF1]盧卡的馬廄 | [BF4]農場"
45BB50F5,"透過戰鬥包取得"
45BD45A8,"[BF1]湯姆 | [BF4]Tango"
45BDBA0C,"公園"
45BE8D5D,"紀錄"
45C0BAF7,"戰鬥包19狗牌"
45D14B65,"正在設定遊戲…"
45D40E2D,"代表阿富汗的狗牌"
45D9782F,"阿富汗"
45DB5BF7,"攻擊/防守"
45E11D7F,"重要目標已設定"
45E18ABE,"[BF1]選擇遊戲內對話的語言。 | [BF4]選擇語音的語言。"
45E2BDFB,"在一回合內取得最高小隊分數"
46063B86,"EMP無人機能隱匿目前被標記的友軍，並擾亂附近一帶的敵方通訊。"
46171CA8,"各向異性質感條件的水準，數值愈高，清晰度與質感的細膩度也愈高。"
463CE3B1,"設定動態模糊量。"
46428BB4,"[BF1]拆除中 | [BF4]拆解中"
464478BB,"獲得王牌小隊勳帶50次"
464935C2,"空間不足"
4649E2BD,"王牌小隊勳章"
464DF6DF,"[BF1]25MM 機砲 | [BF4]25MM機砲"
464F1EEB,"QUALITY ENGINEERING"
4657B669,"7.62同軸輕機槍"
4670800C,"修復"
467E2296,"代表諾魯的狗牌"
46838C98,"諾魯"
46855957,"掩護帝瑪"
4687821F,"擊殺紀錄讓你掌握遊戲中所有擊殺。在「選項」選單下可以啟用擊殺紀錄。"
468E4430,"抵達纜車"
46977FAF,"BATTLELOG項目"
46A00AA5,"不滿意"
46B03982,"教學"
46B2DFAA,"空降載具"
46C943B6,"[BF1]以這高級狗牌炫耀您的地位！ | [BF4]以這高級狗牌炫耀你的地位！"
46CB682C,"[BF1]電報站攻擊獎勵 | [BF4]M-COM攻擊獎勵"
46CB93A6,"自訂主要武器"
46CEADB8,"高級4狗牌"
46E120D0,"你可以把你小隊隊員所放置的無線電信標作為部署點。請選擇在地圖上欲部署之無線電信標圖示並按下："
46E1ABBA,"[BF1]急救 | [BF4]救助"
46EA84A3,"找到科維特並查看情況。"
46F06EDE,"戰鬥包"
46FF215D,"[BF1]一旦部署倒數歸零你即可進入遊戲。欲在小隊部署和隨機部署之間切換請按下： | [BF4]一旦部署倒數歸零你即可進入遊戲。請按下一名小隊現役隊員以部署。你也能按下戰鬥區任一處隨機部署。選擇後，請按下："
46FF259E,"一旦部署倒數歸零你即可進入遊戲。欲部署，請按下："
47194E15,"EA ROMANIA QA"
4726EFF2,"代表多哥的狗牌"
472C59F4,"多哥"
47411E5D,"十字鍵下"
4745181A,"攻擊；防衛；攻擊目標；防衛目標；攻擊命令"
474554B0,"十字鍵左"
4749AD40,"神射手獎勵"
474A5515,"DICE LEAD UI SOFTWARE ENGINEER"
475D0435,"部署"
4776A377,"屋頂1"
4776A378,"屋頂2"
4791EE5E,"雷射導引"
479D605C,"SYSTEM ENGINEERS"
47A2639F,"啟用或停用玩家被自己隊伍誤傷的可能性。"
47A57485,"SPECIAL THANKS TEXT"
47ADB163,"[BF1]按鍵 1 | [BF4]按鈕1"
47B1E7B6,"[BF1]按鍵 3 | [BF4]按鈕3"
47B671F2,"你一旦加入小隊後，你所有小隊相關行動中所得分數將共同計算以加速你的戰場升級進度。全新戰場升級會隨著你的分數累積而啟動。"
47BC0F65,"LOCALIZATION AUDIO CAPTURE"
47F04DDB,"是"
47F5BD4E,"C"
480066B6,"[BF1]敵方全地圖 EMP | [BF4]敵方全地圖EMP"
480628C6,"澳洲"
480C80CB,"Battlefield 4? Commander for tablets"
481E1CB1,"小隊長防衛指令獎勵"
482936CE,"代表阿爾巴尼亞的狗牌"
482EA0D0,"阿爾巴尼亞"
483C9BCD,"你的小隊在沒有目標或忙著裝填武器彈藥時不會執行攻擊命令。  你可在右下角看到小隊狀態。"
4863AD13,"[BF1]我的最愛 | [BF4]最愛"
4869E935,"ACE 53狙擊步槍戰鬥包"
48809A13,"連發"
4887F068,"瀕死擊殺"
4888517E,"在一回合內取得最高準度"
48905C19,"HTC CDS SOFTWARE ENGINEERS"
4894BD90,"[BF1]無人機將在指定地點上方盤旋，並偵察下方敵人動態。 | [BF4]無人機將在指定地點上方盤旋，並偵查下方敵人動態。"
4895868F,"EA LOCALIZATION TESTERS"
4899A15C,"獲得MVP勳帶50次"
489F0B5E,"MVP勳章"
48A93FC0,"發射"
48ABC34A,"EA GAMES"
48B87739,"[BF1]玩家和物件等網路資料視覺平順化。如降低可減少延遲現象，不過可能會增加視覺錯誤。 | [BF4]如玩家和物件等網路資料視覺平順化。降低可減少延遲現象，不過可能會增加視覺錯誤。"
48BA7DEC,"[BF1]已使用空降補給 | [BF4]空降補給已使用"
48BECFD2,"關於"
48C6AC51,"OPERATIONS LEAD"
48C90AA9,"聲音"
48CB0F62,"OPERATIONS TEAM"
48D1DBED,"保護愛爾蘭佬"
48D34B37,"代表尼泊爾的狗牌"
48D8B539,"尼泊爾"
48DFBEE9,"MILITARY SENIOR ADVISOR"
48E35D31,"你目前並不屬於任何戰隊"
48E87C4D,"關閉"
48F2DADF,"地形品質"
48F527C5,"部署醫護包"
48FB1F32,"使用LAV-AD飛彈防砲裝甲車擊殺500人"
48FBAD3F,"如設為「否」，小地圖便不會顯示被標記的玩家。"
49008934,"[BF1]LAV-AD飛彈防砲裝甲車大師狗牌 | [BF4]LAV-AD 大師狗牌"
4901B201,"[BF1]高級專屬 | [BF4]限高級版"
4901B414,"骷髏人狗牌"
49072732,"自訂攻擊直昇機"
49085542,"EA LEGAL"
490F0A09,"WEAPON AND VEHICLE ARTIST"
490F837B,"裝備"
491003E1,"錯誤"
491356FB,"附加內容"
49151112,"[BF1]恭喜您已解鎖「VIP 黃金戰鬥包」！快進入戰鬥包選單領取物品！ | [BF4]恭喜你已解鎖「VIP黃金戰鬥包」！快進入戰鬥包選單領取項目！"
4916BC85,"DICE FROSTBITE2 LEAD TECHNICAL ARTIST"
491EA9A8,"選定的小隊在地圖上將以小隊色彩顯示。你可透過選單向他們下指令。"
491F0C81,"[BF1]最遠爆頭距離 | [BF4]最長爆頭距離"
491FB7E1,"GLOBAL IT SENIOR MANAGER SERVICE OPERATIONS"
49243298,"柵欄控制"
492F3563,"戰鬥機勤務之星"
4942D1BF,"[BF1]無狀態資料 | [BF4]無統計資料"
4944B568,"小時"
4954CF4E,"LAUNCH DIRECTOR"
496C7926,"以工程部隊身份玩50小時"
4971E328,"工程兵時間狗牌"
4974A5AC,"往右窺視"
49778D96,"擊殺"
497A3DE4,"[BF1]近戰 | [BF4]軍刀"
497C1893,"代表托克勞的狗牌"
497CAD85,"PROJECT COORDINATORS"
49818295,"托克勞"
498841D5,"開始新戰役"
4999699A,"勳章"
49A57CD5,"子彈殺傷力百分比"
49BD482D,"切換選單頁面"
49CDBFA7,"[BF1]Xbox Live 派對 | [BF4]Xbox Live派對"
49D02261,"SCAR-H SV武器戰鬥包內含四個項目。每一包會給你幾個SCAR-H SV專用附掛，直到你解鎖了全部。"
49D6E98A,"價格"
49F3E1AE,"[BF1]偵察兵 | [BF4]偵察"
49FB325D,"部署微型無人偵察機"
49FB4079,"指定目標"
4A0514D3,"得分"
4A07972A,"分享"
4A095D96,"技巧值"
4A0B63E7,"[BF1]按鍵 8 | [BF4]按鈕8"
4A0CD975,"小隊"
4A0DC71D,"DICE DEVELOPMENT DIRECTORS"
4A0E2BC5,"勤務之星"
4A0E6744,"商店"
4A136324,"任何"
4A1FD5C6,"{0:d}%經驗值加乘活動進行中"
4A30D6CD,"任務"
4A328CE7,"目標載具擊中"
4A32F2F1,"巴西葡萄牙語"
4A354A7D,"分享戰地快報"
4A3E782E,"影像"
4A45EA2F,"[BF1]中校 | [BF4]上尉V"
4A6FB0B5,"在一回合內取得最高突擊步槍擊殺數"
4A7555AC,"俄羅斯"
4A7E5F6F,"代表阿爾及利亞的狗牌"
4A83C971,"阿爾及利亞"
4A9C68A9,"宣佈賽前準備完畢"
4AA917DE,"LEAD PLATFORM ENGINEER"
4AAE09C4,"奪旗內容置此"
4ABF6AAE,"在一回合內取得最高突擊分數"
4AD0784F,"此組態為無排名"
4AE9E631,"你地圖上的紅圈為敵方指揮官所控制的無人機。"
4AF471C8,"繼續至管理伺服器"
4AFCF440,"遊玩時顯示武器和載具的提示。"
4B181830,"DICE LA STUDIO"
4B1D32A7,"美國"
4B2873D8,"代表荷蘭的狗牌"
4B2C290F,"投擲防禦"
4B2DDDDA,"荷蘭"
4B330105,"DICE FROSTBITE2 NETWORK ENGINEER"
4B3B01FE,"DICE QA PERSISTENCE"
4B3C5BC9,"CORE DEVELOPMENT TEAM"
4B5047D3,"使用9K22通古斯卡主戰坦克擊殺500人"
4B510DB8,"HEAD OF DEVELOPMENT VANCOUVER"
4B55B1D5,"9K22通古斯卡主戰坦克大師狗牌"
4B56DCB5,"地底鱷魚狗牌"
4B5794D3,"找不到遊戲。"
4B5CB576,"在一回合內取得最高工程分數"
4B672A45,"使用M39增強型精確射手步槍擊殺100人"
4B6EFB94,"[BF1]已安裝電報站炸彈 | [BF4]M-COM已設置"
4B73D249,"[BF1]你地圖上的線條為小隊目前的指令。你也可以下達新指令。 | [BF4]你地圖上的線條為小隊目前的指令。你要的話可以下達新指令。"
4BB7B72D,"裝備項目"
4BCEFB36,"中國部署"
4BD14134,"代表東加的狗牌"
4BD6AB36,"東加"
4C10E60D,"[BF1]重新啟動此伺服器。 | [BF4]重新啟動伺服器。"
4C3311E2,"SENIOR MANAGER"
4C3627AA,"[BF1]您的組態名稱至少要有 3 個字元。 | [BF4]你的組態名稱至少要有3個字元。"
4C39A666,"GOS PRODUCTIONS SENIOR DEVELOPMENT DIRECTOR"
4C3A970E,"無效的電子郵件"
4C417547,"建議沒玩過射擊遊戲的玩家選這種玩法。能夠完整體驗《戰地風雲》，但敵人比較容易被打倒，武器殺傷力也比較弱。"
4C43B73B,"開始難度容易的戰役"
4C5EE75F,"下 射擊模式"
4C61D673,"新任務邀請"
4C6E71A0,"[BF1]選擇以按住或按下按鍵的方式來穩定瞄具。 | [BF4]選擇以按住或按下按鈕的方式來穩定瞄具。"
4C6FBB97,"COMMUNITY MANAGER"
4C880343,"DICE IT MANAGER"
4C8F277A,"隱形噴射機"
4C9B12D0,"[BF1]中校II | [BF4]少校"
4C9FE040,"卡賓步槍專家"
4CA6EF74,"請等候回合結束。"
4CA7D575,"[BF1]移動間諜飛艇 | [BF4]掃描無人機"
4CB0985E,"[BF1] QA TEST LEAD | [BF4]QA TEST LEAD"
4CB3D79A,"[BF1]電報站防守獎勵 | [BF4]M-COM防衛獎勵"
4CD38810,"代表美屬薩摩亞的狗牌"
4CD8F212,"美屬薩摩亞"
4CEE2DC2,"[BF1]已摧毀目標 | [BF4]目標摧毀"
4CF3849E,"[BF1]近戰 | [BF4]軍刀"
4D034A14,"[BF1]已拆除電報站炸彈 | [BF4]M-COM已拆解"
4D05AAB9,"[BF1]恭喜您！您解鎖了 Answer HQ 狗牌。前往「我的戰士」選單，然後在「狗牌」選單內裝備您的新狗牌！ | [BF4]恭喜你！你解鎖了Answer HQ狗牌。前往「我的戰士」選單，然後在「狗牌」選單內裝備你的新狗牌！"
4D0704A3,"檢舉伺服器錯誤"
4D20A85B,"SGT STEVE CAMPO"
4D22E30D,"確定要結束嗎？"
4D333FE3,"跟加里森談話"
4D3D2E90,"瞄準鏡"
4D3E082C,"加速"
4D46DF4D,"[BF1]外觀 | [BF4]塗裝"
4D4A18D8,"[BF1]黃金戰鬥包內含 5 個物品，包括： －至少 1 項進階物品和 2 項標準物品 －2 項獎勵物品，有少許機會獲得白銀包中沒有的精英物品 | [BF4]黃金戰鬥包內含5個項目，包括： －至少1項進階項目和2項標準物品 －2項獎勵物品，有少許機會獲得白銀包中沒有的精英項目"
4D609FE4,"SPAS-12戰鬥包"
4D63401C,"瞬間加速"
4D677424,"發生登入變動。你現在將返回主畫面。"
4D67F341,"登入已變更"
4D6FCC1D,"使用M224迫擊砲擊殺100人"
4D7D9C79,"代表新喀里多尼亞的狗牌"
4D83067B,"新喀里多尼亞"
4D83E734,"[BF1]您沒有伺服器現正使用的內容，請查看商店是否有追加內容，或檢查是否已安裝所有內容。 | [BF4]你沒有伺服器現正使用的內容，請查看商店是否有追加內容，或檢查是否已安裝所有內容。"
4D8E0AAB,"GOS PRODUCTIONS GROUP TECHNICAL DIRECTOR"
4D8E4AB9,"選項"
4D91E4C9,"[{0:s}]{1:s}"
4D921C91,"[BF1]上 Battlelog 使用這些圖章和士兵肖像！ | [BF4]在Battlelog使用這些圖章和士兵肖像！"
4DA57074,"使用95式自行高射炮擊殺500人"
4DA9C13F,"部署熱誘彈"
4DA9C91D,"不在小隊中"
4DAADA76,"[BF1]95式自行高射炮大師狗牌 | [BF4]95式高射炮大師狗牌"
4DAC0556,"這不是斯巴達狗牌"
4DBF4D43,"PRODUCT LAUNCH TEAM PRODUCT LAUNCH PROJECT MANAGER"
4DC8FAEA,"[BF1]你可以在即時視角中透過小隊長的視野查看行動。 | [BF4]你可以在即時視角中透過小隊長的雙眼查看行動。"
4DF51FA5,"鎖定"
4E1B4CBF,"GOS PRODUCTIONS TECHNICAL DIRECTOR"
4E2669D5,"代表千里達的狗牌"
4E29D07A,"部署"
4E2A8D9B,"GOS QA SOFTWARE ENGINEERS"
4E2BD3D7,"千里達"
4E2D280C,"SINGLEPLAYER CAMPAIGN TEAM"
4E306CFA,"[BF1]在有砲塔的載具啟用相對瞄準控制（只適用於相對瞄準按鍵設定）。 | [BF4]在有砲台的載具啟用相對瞄準控制（只適用於相對瞄準按鍵）"
4E3A9215,"[BF1]遊戲內每個月都有不同高級活動供會員參加！ | [BF4]遊戲內每個月都有不同高級版活動供會員參加！"
4E3B82D4,"建議"
4E5D600D,"俯仰"
4E639213,"你可以切換放大鏡。"
4E66825B,"顯示更多資訊"
4E67EA07,"顯示武器包"
4E6FA058,"肯定"
4E82D423,"無法新增玩家"
4E83207D,"ACE 21 CQB戰鬥包"
4E8F8055,"小隊突襲"
4E972373,"使用F35擊殺500人"
4E9C8D75,"F35大師狗牌"
4E9CC6D4,"ENGINEERING PROGRAM MANAGER"
4EA713B0,"否"
4EAB1B49,"白銀戰鬥包"
4EACECC0,"需要修理"
4EBD704C,"已啟用傾身窺視"
4EC277CF,"SOFTWARE ENGINEER"
4ECD8314,"小任務獎勵"
4ECDBD8B,"DICE FROSTBITE2 ENGINE TEAM"
4EE846FB,"CLOUD ENGINEER"
4EF03B71,"[BF1]中校III | [BF4]少校II"
4EF40B24,"EA CERTIFICATION AGE RATINGS"
4EFFD545,"查看更多"
4F1CA9F4,"PKP佩切涅格勤務之星"
4F25D1FE,"摩天大廈"
4F28B0B1,"代表安道爾的狗牌"
4F2AA969,"[BF1]VIP 名單 | [BF4]VIP名單"
4F2E1AB3,"安道爾"
4F334CBA,"1-5"
4F34E660,"餐廳"
4F444ACB,"自由視角特快速"
4F5EF6B0,"身為小隊成員，你可以使用其他小隊員做為機動部署點。若要加入小隊，請從小隊清單中選取小隊並按下："
4F63AC84,"每擊殺一名敵人都可取得擊殺數"
4F70AA43,"VO RECORDING STUDIOS"
4F8560AF,"My preset"
4F89A993,"指揮官選單"
4F99E48C,"[BF1]用來對倒下的隊友急救。按住後放開可使士兵完全恢復生命值。 | [BF4]用來救活死傷的隊友。按住後放開可使士兵完全恢復健康。"
4FB4FCD6,"[BF1]MOTION CAPTURE LEAD | [BF4]MOTION CAPUTRE LEAD"
4FD2C51A,"代表紐西蘭的狗牌"
4FD6008B,"反擊"
4FD82F1C,"紐西蘭"
4FE5D868,"[BF1]載具火力命中 | [BF4]載具火力擊中"
4FE7DD5C,"在一回合內取得最高輕機槍擊殺數"
4FFBF8E1,"EA QA OTG TESTERS"
50012DF7,"這下玩完狗牌"
5014A8DF,"IN LOVING MEMORY OF"
5022FACC,"[BF1]您已達到使用者自定組態數量的上限。請編輯您現有的組態。 | [BF4]你已達到使用者自定組態數量的上限。請編輯你現有的組態。"
502B5C13,"此數值控制遊戲中每顆子彈的殺傷力。"
502C6327,"在一回合內取得最高地面載具擊殺數"
502FD473,"擊殺紀錄"
5037DCE9,"SENIOR ANALYTICS MANAGER"
50471432,"[BF1]可多容納 1 名乘客空間的輕型快速運輸載具。乘客可使用套件武器和配備。 | [BF4]搭載承載式迷你砲和可多容納2名乘客空間的輕型運輸船隻。乘客可使用套件武器和配備。"
5048A2C8,"[BF1]按一下 | [BF4]按下按鈕"
5053AB25,"剎車/倒退"
50626668,"切換瞄準鏡/斜視瞄準器"
507B9276,"代表突尼西亞的狗牌"
5080FC78,"突尼西亞"
508328E9,"LAUNCH SUPPORT MANAGER"
509ED22D,"射程"
50A9D3B4,"C4炸藥"
50B339D3,"GOS DEVELOPMENT RELATIONS"
50B4EEA1,"歐洲"
50B4FA81,"美南"
50B5093E,"歐洲"
50B50F0E,"美東"
50B51BE5,"美西"
50B51CC6,"英國"
50B52694,"亞洲"
50B53AC0,"美西"
50B53CB0,"澳洲"
50B78650,"雷達掃描"
50BECF50,"[BF1]縮放武器視角 | [BF4]切換視鏡"
50C501F7,"切換瞄準距離"
50CE8995,"A-91戰鬥包"
50D04FA5,"[BF1]勝/敗 | [BF4]勝/負"
50D0983C,"武器戰鬥包內容"
50D1D35D,"FN57戰鬥包"
50D1ED10,"G36C戰鬥包"
50D532C9,"M249戰鬥包"
50D53491,"LSAT戰鬥包"
50D536BF,"M320戰鬥包"
50D53AE5,"M416戰鬥包"
50D53CF0,"M4A戰鬥包"
50D5511D,"M98B戰鬥包"
50D6D7A7,"P226戰鬥包"
50DC85A4,"SCAR-H SV勤務之星"
50DF6E3B,"過於接近這個回合的結束。"
50E79E26,"左撇子"
50EC4C14,"使用蘇愷-50擊殺500人"
50F1B616,"蘇愷-50大師狗牌"
50F33F2D,"蒐集《戰地風雲4》所有獎盃"
50F5DB6C,"DICE AI SOFTWARE ENGINEER"
5113ACBF,"設為「是」，則僅高級玩家能加入此伺服器。"
5113D36E,"找出離開學校的路。"
5114A627,"清除地圖循環"
5117D2A5,"啟動升降梯"
5123E0E1,"達到分數"
5124F621,"[BF1]動態感測 | [BF4]動作感應器"
5130AC95,"[BF1]接受急救 | [BF4]接受救助"
513E0268,"奪取一輛撤離載具，並帶航程紀錄器返回美國瓦爾基麗號。"
51456412,"[BF1]中校IV | [BF4]少校III"
51551BAA,"AUDIO"
515626E7,"AWACS"
5168DCFA,"設為「否」，則在遊戲實景瞄準敵人時便不會顯示敵人名牌。"
517B51F0,"[BF1]繼續設定您的伺服器… | [BF4]繼續設定你的伺服器..."
517DD952,"代表安哥拉的狗牌"
5180E93B,"LEAD ANIMATORS"
51834354,"安哥拉"
518E8C8A,"最高"
518F19A7,"子彈行經長距離將因重力而下降。在你的狙擊步槍或精確射手步槍上設定基準點，以彌補選定距離對彈道曲線的影響。"
5192F9EF,"EA QA"
5198F8FA,"GL ACCOUNTANT"
519AB293,"高級戰鬥包"
51AECB50,"使用禁玩名單"
51D2E0AA,"EA CAPTURE STUDIO FACEFORWARD STRIKE FORCE"
51DD5320,"後處理品質和特效細節。"
51DFEDE5,"新增地圖循環"
51F36442,"無上限"
51F56327,".44麥格農武器戰鬥包內含四個項目。每一包會給你幾個.44麥格農解鎖，直到你解鎖了全部。"
5203B7B3,"KIRIL"
52136EDD,"LEGAL"
52212AB0,"ADDITIONAL GAMEPLAY DESIGNER"
5227EDBB,"代表尼加拉瓜的狗牌"
5228DDCC,"計算機"
522D57BD,"尼加拉瓜"
522E8179,"MUSIC"
523A07E4,"單人模式專屬狗牌"
523F71E6,"指定駕駛狗牌"
52435138,"爆破"
5252444D,"進入船中"
525604B2,"炸彈在敵人手上！"
52565698,"熱狗牌"
525E1980,"PILOT"
5264AE81,"[BF1] PULSE | [BF4]PULSE"
52878AB3,"在所有《正面交鋒》地圖上進行槍神模式。"
529A7859,"STORY"
52A590B6,"購買高級內容"
52A9D229,"TOOLS"
52CED2B2,"VP EP"
52CED2F1,"VP GM"
52D0BB17,"代表土耳其的狗牌"
52D62519,"土耳其"
52DDEE25,"[{0:~}]"
52F1134F,"空降補給"
52F132BF,"SUBMISSION ANALYST"
52F9EE27,"USAS-12武器戰鬥包內含四個項目。每一包會給你幾個USAS-12專用附掛，直到你解鎖了全部。"
530CD624,"20MM火神砲"
530D44A3,"離線"
532CD30D,"找到加里森艦長"
533D739D,"敵軍已設置炸彈！"
534174B5,"使用殲-20擊殺500人"
5346DEB7,"殲-20大師狗牌"
534A1F67,"[BF1]設定伺服器 1/2 | [BF4]設定伺服器1/2"
5351F5AC,"傾身窺視靈敏度"
5388E47C,"{0:~}附掛"
538ECB6E,"[BF1]提示系統 | [BF4]顯示提示"
538F1537,"ACW-R勤務之星"
538F3239,"AK-12勤務之星"
538F3EFC,"AMR2勤務之星"
53908B93,"CZ-75勤務之星"
5391FD6A,"FN57勤務之星"
5392100A,"M67手榴彈勤務之星"
5392171D,"G36C勤務之星"
53922F06,"FY-JS勤務之星"
5392E355,"雄鷹12G霰彈槍勤務之星"
539387C7,"SA-18針式飛彈勤務之星"
5393DD20,"選擇漢娜"
53955871,"M136 CS勤務之星"
