00044741,"無法連上《戰地風雲》的伺服器，無法取得伺服器資訊。請稍後再試。"
325E1529,"FRENCH POLICE"
3267C203,"具備可精準射擊目標的三角標線的輕型內紅點瞄準器。"
32739622,"自由觀看靈敏度"
327E8767,"格陵蘭：我這就派人幫忙發口糧。"
327E8768,"格陵蘭：對。口糧。對，快去。"
328FA9BB,"發射多發小型鎢合金子彈，而不是穿透力和射程較佳、近距離制止力卻較低的彈藥。"
3296EA91,"《戰地風雲4：中國崛起》資料片"
32AE51DD,"玩一回合突擊航母模式"
32B00ACE,"XD-1雀鷹"
32B21305,"格陵蘭：大家都三天沒吃飯睡覺了…"
32B30B59,"噴漆海軍"
32B3AE27,"目標偵測器"
32B7FAD8,"大型空戰。利用飛行載具佔領並完全控制目標。"
32BE7342,"完成所有《Dragon's Teeth》小任務"
32DD0682,"用步兵戰車擊殺5人"
32E27084,"步兵戰車勳帶"
32EBBE88,"俄羅斯反射式瞄準器具備丁型十字準星，比其他紅點瞄準器能將瞄準點保持清晰。"
32ECE2D9,"DICE AUDIO DIRECTOR"
32EEE3FA,"使用MK153肩射多用途攻擊武器擊殺500人"
32F44DFC,"MK153肩射多用途攻擊武器大師狗牌"
32F67070,"明亮紅光雷射瞄準器能將腰射影響降低25%以改善腰射表現。可從稍遠距離阻礙敵人視線。"
32F6A3D2,"40mm高爆榴彈提供優異的壓制與粉碎力，投擲距離比手榴彈更遠。"
32F6A53F,"40mm鋼矛彈發射鎢鋼鏢彈，具優異的近戰殺傷力與穿透力，但不具射程。"
33008607,"正在玩《戰地風雲4》"
33120BED,"透過戰鬥包取得"
3316224E,"SPECIAL ADDITIONAL THANKS TEXT1"
3316224F,"SPECIAL ADDITIONAL THANKS TEXT2"
331775EF,"戰鬥包11狗牌"
3318AD48,"著重在小規模步兵行動的地圖與模式"
33196883,"碎片秋天"
332470B8,"跟加里森見面"
332875D1,"GLOBAL IT SENIOR DEVELOPMENT DIRECTOR"
33299F47,"發散出濃厚的煙霧以掩蓋載具形體，並使來襲導彈無法成功精準命中並造成嚴重傷害。"
3333604C,"你可以在遊戲中啟用「加乘」，且可在有效期限內獲得更多的經驗值。如要使用加乘，請選擇右下角的加乘區。"
3335791A,"非常樂意"
33374169,"直升機搖桿配置"
3339A127,""
3339F901,"代表英屬印度洋領地的狗牌"
333AB43F,"噴漆都會"
333F5B9F,"在小地圖上隱藏槍口的火光並提升在小地圖匿蹤效果的俄製消音器。降低子彈速度並增加彈道曲線。"
333F6303,"英屬印度洋領地"
33404237,"使用任何霰彈槍擊殺7人"
33404238,"獲得霰彈槍勳帶10次"
3341F8CC,"已開啟：{0:s}"
33444B6E,"7x縮放率的俄製高倍率標準射手瞄準鏡可從遠距攻擊目標。"
3344D867,"預設空白狗牌"
334A4269,"空白狗牌"
33525AB8,"在征服時佔領20面旗幟"
33525AB9,"獲得征服勳帶10次"
33568EC1,"老虎秋天"
33611830,"士兵腰射準星"
33647339,"獲得M-COM攻擊手勳帶10次"
3364733A,"獲得突襲勳帶10次"
33654062,"噴漆雪地"
3367300B,"具備彈道落距標線的8x縮放率西方製標準步槍瞄準鏡有助於遠距射擊。"
33708C72,"你無法加入跟你使用同一系統的玩家。"
33750BF2,"伺服器名稱"
33768BBA,"撿起20枚炸彈"
33768BBB,"獲得毀滅勳帶10次"
337F77CE,"可顯示與目標之間的距離以及武器目前瞄準距離的雷射標示器。這種雷射的光束偵測不到。"
337F82D8,"目標摧毀"
3388A43B,"獲得指揮官權威勳帶10次"
3388A43C,"獲得指揮官勳帶10次"
339ABCBC,"使用軍刀擊殺5人"
339ABCBD,"獲得近戰勳帶10次"
33ACD53D,"使用任何突擊步槍擊殺8人"
33ACD53E,"接受治療12次"
33B4C7B3,"AS VAL自動步槍"
33BEEDBE,"使用任何一種卡賓步槍擊殺8人"
33BEEDBF,"維修17次"
33CBA51D,"大小"
33D1063F,"使用任何一種狙擊槍擊殺8人"
33D10640,"讓5名小隊隊員在你位置重生"
33D37577,"攻擊命令執行中"
33D4463C,"關閉閘門"
33D5CAAB,"格式錯誤"
33D646FA,"降落傘自訂"
33DFDD83,"命中指示器"
33E11273,"DAO-12霰彈槍"
33E31EC0,"使用任何一種輕機槍擊殺8人"
33E31EC1,"補給17次"
33E60EA5,"空降補給接近中"
33F35798,"{0:s}的伺服器說明"
33F3622D,"針對16名玩家的快節奏行動。搭配伺服器設定「限用步兵」為佳。"
33F3FFF9,"載具毀滅者"
33F7626E,"奪取並保衛目標即可破壞敵方航母。等航母一打開，解決兩個目標並同時防守己方航母即可獲勝。"
33F8C19A,"{0:s}的伺服器"
33FC85C4,"F2000突擊步槍"
34055274,"好友排行榜"
340A0998,"AUDIO DIRECTORS"
340A9ED9,"獎勵偵察老手"
340C54A6,"防空"
340EEE4F,"噴射機勳帶數"
340F64F1,"廣播：重覆。準備再二十五公里就與美國泰坦號會合。"
341008DB,"老手偵察狗牌"
3418922A,"上士II"
34280DFC,"使用ACE 52 CQB擊殺500人"
342D77FE,"ACE 52 CQB大師狗牌"
34341C98,"部署以在敵人迷你地圖上建立一偽陽性步兵信號。"
3437922F,"D"
343AC6AE,"QA GTO DIRECTOR"
34405617,"檢視並打開戰鬥包。"
3447AA6F,"有動態時"
34496F5A,"敵方航母船體毀損"
344B4764,"奪旗"
3460BAF6,"獲得電擊器勳章5次"
3462B254,"LEAD TEAM"
346624F8,"電擊器勳章狗牌"
346C52BC,"代表聖露西亞的狗牌"
346C76FA,"利用這枚高級狗牌炫耀你的地位！"
3471BCBE,"聖露西亞"
3471E0FC,"火線風暴高級狗牌"
3477E92A,"把全螢幕時最高的FPS鎖定在螢幕的更新率。"
347D6588,"M60-E4輕機槍"
34890452,"武器上尚未附掛任何瞄準鏡。"
348BD40A,"NUM -"
34A08D75,"炸彈會在10秒後重新設定"
34A3B1D9,"A"
34A3B1DA,"B"
34A3B1DB,"C"
34A3B1DC,"D"
34A3B1DD,"E"
34A3B1DE,"F"
34A3B1DF,"G"
34A54E7A,"A"
34A54E7B,"B"
34A54E7C,"C"
34A54E7D,"D"
34A54E7E,"E"
34A54E7F,"F"
34A54E80,"G"
34B7E1A0,"解鎖條件"
34B991FE,"RUSSIAN SOLDIER 3"
34B9A7DD,"拖式飛彈"
34C1D247,"攻擊/防衛"
34D676DC,"武器旋轉"
34E53E61,"DICE EXECUTIVE PRODUCER"
34EB1B67,"HVM-II"
34EB7C66,"使用突擊部隊擊殺500人"
34F0E668,"突擊兵大師狗牌"
34F14A0C,"確定要重新開始嗎？尚未儲存的進度會全部消失。"
34FB1AA8,"G18全自動手槍"
350BEF09,"帝瑪：所以我信任你。你明白嗎？"
350C9517,"@"
350C951B,"未知"
350C9579,"F1"
350C957A,"F2"
350C957B,"F3"
350C957C,"F4"
350C957D,"F5"
350C957E,"F6"
350C957F,"F7"
350C9580,"F8"
350C9581,"F9"
3518E0FA,"ADDITIONAL SOFTWARE ENGINEERS"
351D05AC,"4.6x30mm"
351EDE8E,"新手"
3523AC24,"玩家謝禮戰鬥包"
3536460A,"開啟/關閉載具上的自由觀看功能。"
353AF174,"上海突圍"
353DD092,"中規模戰爭場面。各隊必須奪取敵人旗幟，並同時保衛自己的旗幟。"
3542EEF6,"監控勳帶數"
35440C9B,"使用FGM-172短程突擊武器擊殺500人"
354607ED,"麥克風音量"
35465063,"兌換代碼"
3549769D,"FGM-172短程突擊武器大師狗牌"
354A6E01,"選擇是否顯示指定載具中的乘員名稱。"
355403C9,"選擇地圖"
355CA5B8,"開啟閘門"
3567348E,"透過戰鬥包取得"
356C9E90,"戰鬥包12狗牌"
35836609,"顯示有5-10個空位的伺服器。"
3583793D,"選擇另一個裝置"
35845E60,"AR-160戰鬥包"
358A4D97,"戰地風雲3"
358F21A2,"代表汶萊的狗牌"
358FB828,"M60-ULT輕機槍"
35948BA4,"汶萊"
35956AD8,"在一回合內，用任何一種地面載具殺敵10人"
35956AD9,"用任何一種地面載具摧毀50輛載具"
35A00E7D,"固定式的發射器，可以利用具有防護性的莢艙迅速地部署步兵至戰場中。"
35A78359,"在一回合內，用任何一種飛機殺敵10人"
35A7835A,"用任何一種飛機摧毀50輛載具"
35A8541B,"《戰地風雲4》Alpha測試版是首次小規模測試，重點在於評估後端性能，並蒐集初期進行遊戲的感想意見。  請注意這次測試並不代表遊戲最終品質。我們對正常運作時間並不提供任何保證，也會經常依需求重新啟動伺服器或進行維護。  為了參與測試，你已經同意以下約定事項：http://battlelog.battlefield.com/bf4/about/alpha-trial，包括承諾不以任何方式分享這些資訊。  請透過Alpha測試版專屬討論區http://battlelog.battlefield.com回報你的任何感想意見。  感謝你協助測試《戰地風雲4》！  DICE團隊"
35A8D832,"小隊已解散"
35B0AFBB,"無升級"
35B7CD4B,"更改抬頭顯示中玩家狀態的顯示度。"
35B8CFFD,"加速"
35B99BDA,"使用快速攻擊船隻擊殺6人"
35B99BDB,"獲得船隻勳帶20次"
35CBB45B,"使用任何一種卡賓步槍擊殺8人"
35CBB45C,"獲得卡賓步槍勳帶20次"
35CEE0DD,""
35DB7211,"加里森：你們從泰坦號帶回來的情資證實太平洋中央指揮部已經沒了，被中國飛彈毀掉了。"
35DB7212,"派克：想想現在的情況，艦長。我們現在需要非常小心，讓她加入小隊…愛爾蘭佬不會…"
35DB7213,"加里森：愛爾蘭佬不會為大局著想，我們現在處於非常狀態。她得跟你們一起行動。"
35DB7214,"派克：了解。總之愛爾蘭佬是個好人。我會看著他。"
35DB7215,"加里森：謝了，派克。雖然你現在經驗不足，但是有潛力領導。"
35DB7216,"派克：謝謝艦長。這次突擊機場有什麼是我們該注意的嗎？"
35DB7217,"加里森：有。去找瑞克來。"
35DBFCE9,"DICE DESTRUCTION ARTISTS"
35DDCCDC,"使用任何PDW防衛槍擊殺8人"
35DDCCDD,"獲得PDW防衛槍勳帶20次"
35E6FDB3,"駕駛協助"
35E74FF8,"門神：呼叫堡壘，這裡是門神，我們建議你立刻…（靜電聲）…完畢。"
35E74FF9,"加里森：呼叫門神，這裡是堡壘。請重複一次！你的訊號斷斷續續的！完畢！"
35E74FFA,"門神：（靜電聲）…提姆薩赫湖以北的運河。不要開進運河！我重複一次，不要…（靜電聲）。"
35E74FFB,"加里森：他媽的！"
35E74FFC,"執勤員：長官，我可以使用摩斯密碼，應該會比較清楚。"
35E74FFD,"加里森：沒時間了。緊追在我們後面的驅逐艦不會停下來等我們。"
35E74FFE,"執勤員：長官，請指示？"
35E74FFF,"加里森：你把雷達聲納等所有偵測系統全打開。"
35EB2EF0,"戰場升級"
35EF121A,"彎刀"
35EFE55D,"使用任何霰彈槍擊殺8人"
35EFE55E,"獲得20次霰彈槍勳帶"
35F05C54,"獲得協助擊殺勳帶50次"
35F5C656,"協助擊殺勳章"
35F9486B,";"
35FF2B6A,"AGE TEST TEAM"
3601FDDE,"獲得指揮官監控勳帶10次"
3601FDDF,"以指揮官取得EMP獎勵30次"
3601FDE0,"獲得索敵勳帶20次"
3602A218,"旗幟："
360A6C95,"以使用載具為重點的大型征服地圖"
3612188E,"左ALT"
361275BB,"左WIN"
3614165F,"發射100枚巡弋飛彈"
36141660,"發出50次警報"
361DCEF8,"空域優勢"
36262EE0,"取得小隊救星獎勵25次"
36262EE1,"取得小隊復仇者獎勵25次"
36262EE2,"進行50次小隊救助"
36268AE1,"無法連線到PSN(SM)。無法使用線上功能。"
3626E8A4,"完整遊戲"
36352203,"在載具中啟用頭部方向追蹤，讓你可以在駕駛時觀看兩邊。"
36384761,"取得25次機動嚴重傷害"
36384762,"取得25次機動擊殺"
36384763,"摧毀50輛載具"
3646CB9B,"復活獎勵"
364C685B,"爆頭數"
365A8641,"使用AAV-7A1兩棲戰車擊殺500人"
365C9786,"上海突圍"
365FC77A,"獎勵支援老手"
365FF043,"AAV-7A1兩棲戰車大師狗牌"
3665317C,"老手支援狗牌"
366DBACB,"上士III"
3683FE3B,"偵測到損壞存檔"
36896D9F,"尾翼穩定脫殼穿甲彈"
36A166D6,"你要加入的遊戲已滿載。"
36ADDEA8,"SANDERS"
36AE5CAE,"辦公室"
36B02FB2,"輕點兩次「前進」即可衝刺"
36B5E397,"獲得維修工具勳章5次"
36B6603D,"能量不足"
36BB4D99,"維修工具勳章狗牌"
36BD8069,"正在儲存玩家設定檔，請不要關閉系統。"
36C17B5D,"代表聖馬丁的狗牌"
36C19F9B,"利用這枚高級狗牌炫耀你的地位！"
36C6E55F,"聖馬丁"
36C7099D,"高級都會狗牌"
36CA1F99,"SR338戰鬥包"
36D19711,"莢艙發射器"
36DB223B,"迷你地圖隨玩家旋轉"
36FBD463,"空爆"
370402D2,"羅氏MK-1"
3706AF95,"使用轟炸空襲擊殺一人"
37172A3A,"這把刀刃的後彎設計延伸刀鋒，在切入物體或偷取敵人狗牌時多添點狠勁。"
371E103F,"動態模糊量"
37251D1D,""
37251D1F,"博海：你在上海到底是什麼任務？！"
37251D20,"愛爾蘭佬：啊啊啊！"
37251D22,"愛爾蘭佬：你這變態混蛋別碰他！"
37251D23,"博海：你們逼我的－中士。"
37251D24,"愛爾蘭佬：瑞克。瑞克！保持清醒。保持清醒，瑞克！"
37251D25,"博海：她丈夫，什麼丈夫？你老糊塗了？"
37251D3D,"愛爾蘭佬：你把我當笨蛋是嗎？包繃帶的那傢伙。我知道。"
37251D3E,"張將軍：那麼。他還活著？你那艘船是瓦爾基麗號不是嗎？"
37251D3F,"愛爾蘭佬：什麼？你這話什麼意思？"
37251D40,"張將軍：你不知道你把誰帶出了上海對不對？"
37251D41,""
37251D42,"愛爾蘭佬：金柏葛瑞夫，綽號「愛爾蘭佬」。中士。"
37251D43,"愛爾蘭佬：我一定要把你的手砍下來。我要把那混蛋間諜漢娜找出來，再用你的手揍她揍到她招供為止。"
37251D44,"愛爾蘭佬：瑞克。瑞克！保持清醒，瑞克！"
3726A86C,"觀眾顯示選項"
374DD8E3,"部署點 淪陷"
3755E0E6,"色盲輔助"
3758BECA,"防禦"
375E83D0,"SENIOR NETWORK ENGINEERS"
375F95D3,"連接上M224迫擊砲"
376AB5D4,"老鳥物件"
37735BE6,"大小"
3775F1C8,"重新部署"
3783DC75,"5.7x28mm"
3788E021,"跟其他玩家線上進行多人遊戲比賽。"
3791947B,"HVM-II"
3799353C,"使用RPG-7V2擊殺500人"
379E9F3E,"RPG-7V2大師狗牌"
37A94A67,"切換隱私設定"
37B2E10A,"使用沙漠之鷹.44擊殺100人"
37B30FE3,"閘門室"
37B30FE4,"研究中心"
37B30FE5,"停機坪"
37BC5D2F,"透過戰鬥包取得"
37C1C731,"戰鬥包13狗牌"
37C9E21D,"玩家卡"
37CD0962,"/ {0:d}分"
37E17A96,"PRODUCTION SYSTEMS"
37E44A43,"代表保加利亞的狗牌"
37E9B445,"保加利亞"
37EA9379,"取得20枚狗牌"
37EA937A,"獲得近戰勳帶20次"
37F04AAB,"這套高級戰鬥包內含各種高級版專屬圖章和肖像！"
37F2498A,"更改不在縮放模式時，敵人士兵與敵人載具，玩家世界圖示資訊部分 (名稱、距離等) 的顯示度。"
37FCABFA,"獲得突擊步槍勳帶10次"
37FCABFB,"獲得醫療勳帶50次。"
37FCABFC,"使用任何突擊步槍擊殺200人"
380A6A83,"安裝中"
380EC47B,"獲得卡賓步槍勳帶10次"
380EC47C,"獲得維修工具勳帶50次。"
380EC47D,"以任何一種卡賓步槍擊殺200人"
38106C2B,"準度"
3810EE72,"跟科維特重新會合"
38115BB6,"獲得"
3817C48E,"科維特：找G46號艙。那間艙房有路一直通過去。"
381969B1,"科維特：不管指揮中心在瓦爾基麗號被炸出通訊網路後發出什麼指示，一定會留在那台紀錄器上。"
381E9085,"你的小隊同時與另外三支小隊爭戰。你小隊的目標是共同取得最高擊殺數。"
3820DCFC,"獲得狙擊步槍勳帶10次"
3820DCFD,"獲得神射手勳帶50次。"
3820DCFE,"使用任何一種狙擊槍擊殺200人"
3829AEE6,"寒霜"
38309AF8,"愛爾蘭佬：快發動。"
3832F57D,"獲得輕機槍勳帶10次"
3832F57E,"獲得彈藥勳帶50次。"
3832F57F,"使用任何輕機槍擊殺200人"
3834E651,"初級突擊"
3834E652,"初級工程"
3834E653,"初級偵查"
3834E654,"初級支援"
3834E655,"初級地面載具"
3834E656,"初級飛機"
3834E657,"初級船隻"
3834E658,"初級卡賓步槍"
3834E659,"初級PDW防衛槍"
3834E671,"初級霰彈槍"
3834E672,"征服者"
3834E673,"突襲者"
3834E674,"殲滅者"
3834E675,"聽我指揮"
3834E676,"信差"
3834E677,"突擊老手"
3834E678,"工程老手"
3834E679,"偵查老手"
3834E67A,"支援老手"
3834E692,"地面載具老手"
3834E693,"飛機老手"
3834E694,"船隻老手"
3834E695,"卡賓步槍老手"
3834E696,"PDW防衛槍老手"
3834E697,"霰彈槍老手"
3834E698,"錫箔帽"
3834E699,"後會有期"
3834E69A,"不離不棄"
3834E69B,"破壞鐵球"
3834E6B3,"隱匿暗殺"
3834E6B4,"突擊專家"
3834E6B5,"工程專家"
3834E6B6,"偵查專家"
3834E6B7,"支援專家"
3834E6B8,"進攻指揮官"
3834E6B9,"殺手"
3834E6BA,"地面戰士"
3834E6BB,"空中戰士"
3834E6BC,"計程車司機"
3834E6D4,"霰彈槍之牆"
3834E6D5,"瑞典鋼鐵"
3834E6D6,"中國製造"
3834E6D7,"俄羅斯領導"
3834E6D8,"美國經典"
3834E6D9,"近戰專家"
3835AE43,"達到分數"
383C3F3A,"愛爾蘭佬：我們這麼做是好事吧？"
383C7899,"鞭索：呼叫所有航線內的成員。繼續向運河北行。準備迎接敵方強大火力，所以罩子放亮點並全面開火。"
383D57FC,"派克：但這事不由你決定。鄧恩派瑞克發號施令。"
383DE45D,"愛爾蘭佬：不然這樣－我們找上層說。"
383FB26F,"軸 0 X -"
383FBC47,"軸 0 X +"
38403ED0,"軸 0 Y -"
384048A8,"軸 0 Y +"
3841C73D,"LIVE LEAD"
38450DFE,"在一回合內，用巡弋飛彈殺敵30人"
38450DFF,"指定10個重要目標"
38450E00,"部署50架空中戰艦"
384584F5,"獲得反制載具勳帶50次"
38462A4E,"LIVE TEAM"
38470137,"熱感應視鏡"
38472299,"射速"
384AEEF7,"反制載具勳章"
384B6209,"電子郵件太短"
384D1990,"動態偵測器"
384EF7A0,"好友：{0:d}"
3851CAF0,"軸 1 X -"
3851D4C8,"軸 1 X +"
38525751,"軸 1 Y -"
38526129,"軸 1 Y +"
3852888C,"變焦視鏡"
38541037,"請再次輸入你的密碼"
3855BC11,"沙漠巡邏車"
3855FDE4,"已達循環地圖數的上限"
3857267F,"進行10次小隊掃蕩"
38572680,"完成5次阻止連續擊殺"
38572681,"擊殺3個指揮官指定重要目標"
38692F87,"你已部署四輪越野機車/船隻讓你的隊伍使用。"
38693F00,"獲得主戰坦克勳帶1次"
38693F01,"獲得步兵戰車勳章1枚"
38693F02,"使用主戰坦克摧毀1架直升機"
3870A130,"你的指揮官目前無尚未執行的指令。你尚無法作出回應。"
387B5781,"獲得攻擊直升機勳章1枚"
387B5782,"獲得戰鬥噴射機勳章1枚"
387B5783,"使用攻擊直升機摧毀5架噴射機。"
387FCA83,"幫助鄧恩"
38806308,"離開"
388129ED,"整裝"
38875E64,"前往工廠屋頂"
3887AE0D,"前往藏身所"
388D7002,"在一回合內，取得駕駛重生獎勵10次"
388D7003,"取得駕駛獎勵30次"
388D7004,"取得小隊載具擊殺協助10次"
38931637,"清單抬頭顯示顯示度"
38932F96,"往下切換清單項目"
38987E7F,"DICE LEAD DESIGNER SINGLE-PLAYER"
389DB984,"你需要設定一個密碼才能繼續。"
38AB98C9,"《戰地風雲4：夜獵行動》"
38BC2F72,"搭載專門對付步兵的武器、一座機槍手控制台、以及可多容納4名乘客空間的水陸裝甲戰鬥載具。"
38BC3FF0,"搭載專門對付載具的武器和一座機槍手控制台的重裝甲戰鬥載具。"
38C2E36C,"上士IV"
38C2EAC4,"高級戰鬥包"
38C4E72C,"智慧型火箭"
38C5631D,"使用羅氏Mk-1擊殺 25 人"
38C5631E,"使用羅氏Mk-1摧毀 10 台載具"
38C5ACBE,"機槍手熱感應"
38C7EE4D,"機槍手紅外線夜視鏡"
38CBC3CB,"維護"
38CBC517,"動態偵測器"
38CD708E,"EMP無人機失效"
38CEAC53,"HMVE DRIVER"
38D13413,"機槍手變焦視鏡"
38D14D74,"祖尼火箭"
38D82B6A,"此遊戲只支援將HD高畫質支援安裝在Xbox 360硬碟。"
38E9C31A,"評價指揮官"
38EAB878,"數位變色"
38ECFA4B,"紀念碑"
38F11B77,"掃描步兵"
38F3F450,"標準槍管"
38F68A90,"碎片沙漠"
38FC32EA," "
38FFC5A4,"在遊戲選單中你可以檢視目前的目標、分數和小任務。  你也可以變更設定和動作控制項，還能重新載入檢查點或重啟關卡。"
3906AA38,"DICE SUBMISSION"
39071241,"EA CERTIFICATION"
390B0C38,"獲得神射手勳章5次"
3910763A,"神射手勳章狗牌"
3914810C,"這種組態可以在「官方」、「排名」、「無排名」、「私人」伺服器上使用。"
3916A3FE,"代表法屬聖皮耶與秘克隆群島的狗牌"
3916C83C,"利用這枚高級狗牌炫耀你的地位！"
3916F6E3,"月台"
391C0E00,"法屬聖皮耶與秘克隆群島"
391C323E,"阿曼高級狗牌"
392F091F,"你的隊伍獲勝！"
39307B0B,"增加敵方瞄準系統鎖定你所需時間的特殊電鍍。"
3933B0CE,"老虎沙漠"
3934B2AD,"原子森林"
393C2FA1,"魅影計畫軍隊的特有武器，完成行動才能持有。有效射程雖短但應該不會對真正的魅影執行官造成影響。"
393CB772,""
394C05BE,"USER EXPERIENCE"
394D89F8,"漢娜：別擔心，這些很牢固。"
39516FB4,"棕欖海軍"
39606D7B,"為爭取新開發的個人防衛武器市場的另一競爭者，MP7目前正服役於德國聯邦國防軍和挪威武裝部隊。MP7A1包括改良槍托、額外安全裝置，以及安裝燈光、雷射和瞄準用的追加軌道。這款武器也能加裝消音裝置，近戰時具優異的隱匿性能。"
396694EA,"玩一回合空域優勢模式"
396D432D,"尚未儲存變更"
3984F3C3,"AUG A3突擊步槍"
398789A2,"凍土"
39A13322,"ENTERPRISE SYSTEM MONITORING"
39AB553A,"六角森林"
39B9D48E,"剩餘兵力值"
39C46058,""
39C93219,"炸彈設置"
39CC1B46,"派克：探員，這船上為何有中國特勤人員？他們來做什麼？"
39CC1B47,"科維特：跟我們一樣。為了情報。就是這裡。就是那道門。"
39CC1B48,"愛爾蘭佬：下面那裡？好。瑞克，你先。"
39D31A03,"柵欄控制"
39D643B3,"顯示玩家卡"
39D9189A,"棕欖都會"
39D97B3A,"{0:d}/{1:d}位玩家"
39DDA82F,"你選擇的伺服器沒有足夠的可用空位容納所有隊員。你仍想加入該伺服器嗎？"
39EBB3FE,"攻"
39EE5DDD,"使用FGM-148標槍飛彈擊殺500人"
39F3C7DF,"FGM-148標槍飛彈大師狗牌"
39FA3F77,"用顯示以飛機為中心大半徑範圍內空中目標的雷達顯示器取代小地圖。"
3A064238,"你可稍後再變更追加的伺服器設定。"
3A1185D0,"透過戰鬥包取得"
3A16EFD2,"戰鬥包14狗牌"
3A2927DE,"自訂步兵戰車"
3A29385C,"自訂主戰坦克"
3A3972E4,"代表布吉那法索的狗牌"
3A3EDCE6,"布吉那法索"
3A3FBC1A,"使用DBV-12擊殺50人"
3A3FBC1B,"使用M26附掛擊殺50人"
3A3FBC1C,"使用超級矮子霰彈槍擊殺50人"
3A4AD8DA,"解鎖"
3A51D49B,"使用AK 5C卡賓步槍擊殺100人"
3A51D49C,"使用AK 5C卡賓步槍爆頭50次"
3A51D49D,"使用CBJ-MS衝鋒槍擊殺100人"
3A54E37D,"找不到伺服器加入。"
3A5B93D0,"再次進擊 爆破"
3A63ED1C,"使用88式狙擊步槍爆頭50次"
3A63ED1D,"使用QBS09式軍用霰彈槍擊殺100人"
3A63ED1E,"使用92式手槍擊殺50人"
3A66A0AE,"任務數量已達上限"
3A6832DB,"祖尼火箭"
3A72E33B,"LIVE OPERATIONS SPECIALIST"
3A76059D,"使用SKS卡賓步槍爆頭50次"
3A76059E,"使用A-91卡賓步槍擊殺100人"
3A76059F,"使用MP412 REX手槍擊殺50人"
3A794E59,"地圖循環"
3A7A9D53,"裝備等級："
3A85C355,"愛爾蘭佬：不管有沒有暴風雨，我們都得讓這個計謀成功。要是攻擊行動沒擊中目標，就有很多人要受苦了。"
3A85C35A,"愛爾蘭佬：你準備好了沒？我們昨天就該抵達沙灘了。"
3A85C35B,"派克：瑞克！小心那艘船！"
3A85C373,"派克：真是的！小心！"
3A85C374,"愛爾蘭佬：好，注意了！準備接觸。"
3A85C375,"派克：瑞克快點。快發動。"
3A85C376,"愛爾蘭佬：媽的我們出發吧。"
3A85C377,"派克：老天爺！這天氣還真不是普通的清爽。"
3A85C378,"愛爾蘭佬：派克，別逼我罵人。信號槍在你那邊嗎？"
3A85C379,"派克：對，在我這裡。有誰知道這場雨還會變大嗎？"
3A85C37A,"漢娜：天曉得，有可能半小時就下完了。不過這看來比較像熱帶低氣壓，不像颱風。"
3A85C37B,"派克：颱風是什麼東西？"
3A85C37C,"漢娜：就是你們的颶風。"
3A85C394,"漢娜：這些全是民船。"
3A85C395,"派克：我的天啊。這全是張將軍幹的好事嗎？"
3A85C396,"漢娜：張將軍加上這場暴風雨。"
3A85C397,"愛爾蘭佬：機場快進入我們視線範圍了嗎？"
3A85C398,"派克：我們得先往內陸去!通過前面那座橋。小心，能見度很差。"
3A85C399,"漢娜：萬一加里森沒看見信號彈怎麼辦？"
3A85C39A,"愛爾蘭佬：讓我們陸戰隊擔心自己的任務就好，你別插嘴。"
3A85C39B,"派克：愛爾蘭佬，她說得有理！這距離挺遠的。"
3A85C39C,"愛爾蘭佬：抱歉，我才不聽老百姓的建議。瑞克，快加速！"
3A85C39D,"派克：瑞克！正前方！沙灘旁邊有空地，開過去！"
3A85C3B5,"派克：瑞克，快點。時間對我們不利。"
3A85C3B6,"愛爾蘭佬：你想跑哪裡去？"
3A85C3B7,"派克：瑞克，往沙灘去。"
3A85C3B8,"派克：讓開點！她要過去了！"
3A85C793,"加里森：各單位注意，這裡是堡壘指揮官，協同作戰確認完畢。繼續前往目標C，繼續前往..."
3A85C794,"派克：加里森斷訊了！"
3A85C795,"這個天氣擾亂了無線電。"
3A85C796,"漢娜：我們得保持在聽得到彼此的距離。"
3A85C797,"派克：天阿！小心！"
3A85C798,"愛爾蘭佬：火砲來襲！"
3A85C799,"愛爾蘭佬：火砲！"
3A85C79A,"漢娜：他們知道我們在這！"
3A85C79B,"愛爾蘭佬：瑞克！快開車！"
3A85C79C,"混蛋！"
3A85C7B4,"漢娜：到海灘！帶我們到海灘去！"
3A85C7B5,"派克：快上去！瑞克！"
3A85C7B6,"愛爾蘭佬：你要帶我們去哪裡?"
3A85C7B7,"漢娜：他們快整死我們了！"
3A85C7B8,"派克：離水遠一點，瑞克！"
3A85C7B9,"愛爾蘭佬：海灘到了！快點！"
3A85C7BA,"愛爾蘭佬：他媽的！"
3A85C7BB,"愛爾蘭佬：哇！該死！"
3A881E1E,"使用M39增強型精確射手步槍爆頭50次"
3A881E1F,"使用M4卡賓步槍擊殺100人"
3A881E20,"使用.44麥格農手槍擊殺50人"
3A8F0D8B,"點狀森林"
3A91A161,"跳傘長：媽的，走！快走！"
3A91A162,"跳傘長：陸戰隊的，快跳。"
3A91A163,"跳傘長：走！"
3A91A17B,"跳傘長：走！"
3A91A17C,"跳傘長：走！"
3A91A17D,"跳傘長：走！"
3A99B41C,"恭喜你已解鎖「Prima青銅戰鬥包」！快進入戰鬥包選單領取項目！"
3A9A369F,"以同一條命使用軍刀擊殺3人"
3A9A36A0,"獲得近戰勳帶50次"
3A9AAD96,"獲得小隊掃蕩勳帶50次"
